"","SMILES","DB","ID","scaffold","scaffold_id","NA","NA"
"690","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@H]1C(=C)[C@@H]2[C@H]3OC(=O)C(=C)[C@@H]3C[C@@H](O)C(=C)[C@@H]2C1","NANPDB","5954","O1CCCCC1","O1CCC2CCCC3CCCC3C12","O1CCCCC1OC2CC3CCCC4CCOC4C3C2",148
"691","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@H]1C[C@H]2[C@@](C)([C@@H]3C([C@H]4[C@@](C)([C@@H]([C@@H](/C=C/[C@H](C(C)C)CC)C)CC4)CC3)=CC2)CC1","EANPD","MYRS_00312","O1CCCCC1","C1=C2C3CCCC3CCC2C4CCCCC4C1","O1CCCCC1OC2CCC3C4C(=CCC3C2)C5CCCC5CC4",148
"692","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@H]1C=C2[C@@](C)([C@@H]3[C@H]([C@]4(O)[C@](C)([C@H](O)C3)[C@@H](C3=COC(=O)C=C3)CC4)CC2)CC1","NANPDB","2653","O1CCCCC1","C1=C2CCC3C(CCC4CCCC43)C2CCC1","O1C=C(C=CC1)C2CCC3C2CCC4C5C(=CC(OC6OCCCC6)CC5)CCC43",148
"693","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@H]1C=C2[C@@](C)([C@@H]3[C@H]([C@]4(O)[C@@](C)([C@H]([C@@H](O)C4)C4=COC(=O)C=C4)CC3)CC2)CC1","NANPDB","2663","O1CCCCC1","C1=C2CCC3C(CCC4CCCC43)C2CCC1","O1C=C(C=CC1)C2CCC3C2CCC4C5C(=CC(OC6OCCCC6)CC5)CCC43",148
"694","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@H]1C=C2[C@H](O)C[C@@]3(O)[C@]4(O)[C@](C)([C@H](O)C[C@@H]3[C@@]2(C)CC1)[C@@H](C1=COC(=O)C=C1)CC4","NANPDB","2660","O1CCCCC1","C1=C2CCC3C(CCC4CCCC43)C2CCC1","O1C=C(C=CC1)C2CCC3C2CCC4C5C(=CC(OC6OCCCC6)CC5)CCC43",148
"695","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@H]1C=C2[C@H](O)C[C@@]3(O)[C@]4(O)[C@@](C)([C@@H](C5=COC(=O)C=C5)CC4)CC[C@@H]3[C@@]2(C)CC1","NANPDB","2655","O1CCCCC1","C1=C2CCC3C(CCC4CCCC43)C2CCC1","O1C=C(C=CC1)C2CCC3C2CCC4C5C(=CC(OC6OCCCC6)CC5)CCC43",148
"696","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@H]1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@@H]([C@@H](/C=C/[C@H](C(C)C)CC)C)CC4)CC3)CC=2)CC1","EANPD","MYRS_00311","O1CCCCC1","C1=C2CCCCC2C3CCC4CCCC4C3C1","O1CCCCC1OC2CC3=CCC4C(CCC5CCCC54)C3CC2",148
"700","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@H]1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@@H]([C@@H](/C=C/[C@H](C(C)C)CC)C)CC4)CC3)CC=2)CC1","NANPDB","1152","O1CCCCC1","C1=C2CCCCC2C3CCC4CCCC4C3C1","O1CCCCC1OC2CC3=CCC4C(CCC5CCCC54)C3CC2",148
"704","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@H]1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@@H]([C@@H](CC[C@H](C(C)C)CC)C)CC4)CC3)CC=2)CC1","NANPDB","1369","O1CCCCC1","C1=C2CCCCC2C3CCC4CCCC4C3C1","O1CCCCC1OC2CC3=CCC4C(CCC5CCCC54)C3CC2",148
"708","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@H]1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@@H]([C@@H](CC[C@H](C(C)C)CC)C)CC4)CC3)CC=2)CC1","EANPD","MELI_00086","O1CCCCC1","C1=C2CCCCC2C3CCC4CCCC4C3C1","O1CCCCC1OC2CC3=CCC4C(CCC5CCCC54)C3CC2",148
"712","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@H]1OC=C[C@@]2(O)[C@H](O)[C@H]3[C@](C)(O3)[C@@H]12","NANPDB","3705","O1CCCCC1","O1C=CC2CC3OC3C2C1","O1C=CC2CC3OC3C2C1OC4OCCCC4",148
"713","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@H]1OC=C[C@@]2(O)[C@H](O)CC(O)(C)C12","NANPDB","3703","O1C=CC2CCCC2C1","O1CCCCC1","O1C=CC2CCCC2C1OC3OCCCC3",122
"714","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@H]1OC=C[C@H]2[C@H](O)[C@H](O)[C@@H](C)[C@@H]12","NANPDB","3701","O1C=CC2CCCC2C1","O1CCCCC1","O1C=CC2CCCC2C1OC3OCCCC3",122
"715","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@H]1OC=C[C@H]2[C@H](O)C=C(CO)[C@@H]12","NANPDB","3702","O1C=CC2CC=CC2C1","O1CCCCC1","O1C=CC2CC=CC2C1OC3OCCCC3",158
"716","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@H]1[C@H](C=C)[C@H]2C(C(=O)OCC2)=CO1","NANPDB","2616","O1CCCCC1","O1C=C2COCCC2CC1","O1CC2=COC(OC3OCCCC3)CC2CC1",148
"717","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@H]1C(=C)[C@H]2[C@H](C(=C)CC2)[C@H]2OC(=O)C(=C)[C@@H]2C1","NANPDB","5952","O1CCCCC1","O1CCC2CCCC3CCCC3C12","O1CCCCC1OC2CC3CCOC3C4CCCC4C2",148
"718","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)C1=C(c2cc(O)c([O-])cc2)Oc2c(c(O)cc(O)c2)C1=O","NANPDB","869","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC(OC3OCCCC3)=C1c4ccccc4",10
"719","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)C1=C(c2cc(O)c(O)cc2)Oc2c(c(O)cc(O)c2)C1=O","NANPDB","65","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC(OC3OCCCC3)=C1c4ccccc4",10
"723","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)C1=C(c2cc(O)c(O)cc2)Oc2c(c(O)cc(O)c2)C1=O","EANPD","MORA_00005","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC(OC3OCCCC3)=C1c4ccccc4",10
"727","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)C1=C(c2ccc(O)cc2)Oc2c(c([O-])cc(O)c2)C1=O","NANPDB","1442","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC(OC3OCCCC3)=C1c4ccccc4",10
"728","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)C1=C(c2ccc(O)cc2)Oc2c(c(O)cc(O)c2)C1=O","EANPD","CANE_00060","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC(OC3OCCCC3)=C1c4ccccc4",10
"730","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)C1=C(c2ccc(O)cc2)Oc2c(c(O)cc(O)c2)C1=O","NANPDB","160","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC(OC3OCCCC3)=C1c4ccccc4",10
"736","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c([C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)c(O)c2C(=O)C=C(c3ccc(O)cc3)Oc2c1","EANPD","MORA_00087","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)c(cc2CC=C1c4ccccc4)C5OCCCC5",10
"738","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c([C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)c(O)c2C(=O)C=C(c3ccc(O)cc3)Oc2c1","NANPDB","817","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)c(cc2CC=C1c4ccccc4)C5OCCCC5",10
"744","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c(/C=C\c2cc(O)cc(O)c2)ccc(O)c1","NANPDB","2783","O1CCCCC1","c1ccccc1","O(c1ccccc1C=Cc2ccccc2)C3OCCCC3",148
"745","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c(C(C)C)cc(O)c(C)c1","EANPD","COMP_00034","O1CCCCC1","c1ccccc1","O(c1ccccc1)C2OCCCC2",148
"746","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c(C(C)C)ccc(C)c1","EANPD","COMP_00032","O1CCCCC1","c1ccccc1","O(c1ccccc1)C2OCCCC2",148
"748","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c(C(C)C)ccc(C)c1","NANPDB","5157","O1CCCCC1","c1ccccc1","O(c1ccccc1)C2OCCCC2",148
"754","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c(c(C)cc(O)c1)C=1OC(=O)C=C(OC)C=1","EANPD","ASPH_00222","O1CCCCC1","c1ccccc1","O1C(=CC=CC1)c2ccccc2OC3OCCCC3",148
"755","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c(C)cc(O)c(C(C)C)c1","EANPD","COMP_00033","O1CCCCC1","c1ccccc1","O(c1ccccc1)C2OCCCC2",148
"756","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c(O)c(O)c2C(=O)C=C(c3cc(O)c(O)cc3)Oc2c1","NANPDB","2626","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"757","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c(O)c2c(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)cccc2cc1C","EANPD","ASPH_00200","O1CCCCC1","c1ccc2ccccc2c1","O(c1ccc2cccc(OC3OCCCC3)c2c1)C4OCCCC4",148
"758","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c(O)cc(C=2Oc3c(c(O)cc(O)c3)C(=O)C=2)cc1","NANPDB","1865","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC=C1c3ccc(OC4OCCCC4)cc3",10
"759","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c(O)cc(O)c2C(=O)C=C(c3ccc(O)cc3)Oc12","NANPDB","2368","O1C=CCc2ccccc12","O1CCCCC1","O1C(=CCc2cccc(OC3OCCCC3)c12)c4ccccc4",10
"760","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c(O)ccc(C=2Oc3c(c(O)cc(O)c3)C(=O)C=2)c1","NANPDB","1864","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC=C1c3cccc(OC4OCCCC4)c3",10
"761","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c2C(=O)c3c(O)cc(C)cc3C(=O)c2cc(O)c1","EANPD","RHAM_00013","O1CCCCC1","c1ccc2c(c1)Cc3ccccc3C2","O(c1cccc2c1Cc3ccccc3C2)C4OCCCC4",148
"762","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c2C(=O)c3c(O)cc(C)cc3C(=O)c2cc(O[C@H]2[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O2)c1","EANPD","RHAM_00008","O1CCCCC1","c1ccc2c(c1)Cc3ccccc3C2","O(c1cc(OC2OCCCC2)c3c(c1)Cc4ccccc4C3)C5OCCCC5",148
"763","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1cc(O)c(C=2C(=O)Oc3c(C=2O)ccc(O)c3)cc1","NANPDB","2881","O1c2ccccc2C=CC1","O1CCCCC1","O1c2ccccc2C=C(c3ccc(OC4OCCCC4)cc3)C1",12
"764","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1cc(O)c2C(=O)C([O-])=C(c3cc(O)c(O)cc3)Oc2c1","NANPDB","3243","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"765","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1cc(O)c2C(=O)C(O)=C(c3cc(O)c(O)cc3)Oc2c1","NANPDB","1846","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"766","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1cc(O)c2C(=O)C(O)=C(c3ccc(O)cc3)Oc2c1","NANPDB","1328","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"767","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1cc(O)c2C(=O)C=C(c3cc(O)c(O)cc3)Oc2c1","NANPDB","1321","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"769","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1cc(O)c2C(=O)C=C(c3cc(O)c(O)cc3)Oc2c1","EANPD","MORA_00036","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"775","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1cc(O)c2C(=O)C=C(c3cc(O)ccc3)Oc2c1","NANPDB","5294","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"776","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1cc(O)c2C(=O)C=C(c3ccc(O)cc3)Oc2c1","NANPDB","7","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"777","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1cc(O)c2C(=O)OC(c3cc(O)c(O)cc3)=C(O)c2c1","NANPDB","4138","c1ccccc1","O1CCCCC1","O1C(=Cc2cc(OC3OCCCC3)ccc2C1)c4ccccc4",3
"778","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1cc(O)cc(O)c1","NANPDB","1251","O1CCCCC1","c1ccccc1","O(c1ccccc1)C2OCCCC2",148
"779","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)C1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)(C([C@@H](CC[C@H](C(C)C)CC)C)CC4)CC3)CC=2)CC1","NANPDB","1536","O1CCCCC1","C1=C2CCCCC2C3CCC4CCCC4C3C1","O1CCCCC1OC2CC3=CCC4C(CCC5CCCC54)C3CC2",148
"780","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1ccc(C=2Oc3c(c(O)cc(O)c3)C(=O)C=2)cc1","NANPDB","1853","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC=C1c3ccc(OC4OCCCC4)cc3",10
"781","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](COC2[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O2)O1)c1cc(O)cc(/C=C/c2ccc(O)cc2)c1","EANPD","COMB_00023","O1CCCCC1","c1ccccc1","O(c1cccc(C=Cc2ccccc2)c1)C3OC(COC4OCCCC4)CCC3",148
"782","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)[C@@H]1C=C2[C@@](C)([C@]3(O)[C@H]([C@]4(O)[C@](C)([C@H](O)C3)[C@@H](C3=COC(=O)C=C3)CC4)CC2)CC1","NANPDB","2645","O1CCCCC1","C1=C2CCC3C(CCC4CCCC43)C2CCC1","O1C=C(C=CC1)C2CCC3C2CCC4C5C(=CC(OC6OCCCC6)CC5)CCC43",148
"783","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)[C@@H]1C=C2[C@@](C)([C@@H]3[C@H]([C@]4(O)[C@@](C)([C@@H](C5=COC(=O)C=C5)CC4)CC3)CC2)CC1","NANPDB","2646","O1CCCCC1","C1=C2CCC3C(CCC4CCCC43)C2CCC1","O1C=C(C=CC1)C2CCC3C2CCC4C5C(=CC(OC6OCCCC6)CC5)CCC43",148
"784","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)[C@@H]1C=C2[C@@](C)([C@H]3[C@](O)([C@]4(O)[C@](C)([C@H](O)C3)[C@@H](C3=COC(=O)C=C3)CC4)CC2)CC1","NANPDB","2661","O1CCCCC1","C1=C2CCC3C(CCC4CCCC43)C2CCC1","O1C=C(C=CC1)C2CCC3C2CCC4C5C(=CC(OC6OCCCC6)CC5)CCC43",148
"785","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)[C@@H]1C=C2[C@@](C)([C@H]3[C@H]([C@]4(O)[C@@](C)([C@H]([C@@H](O)C4)C4=COC(=O)C=C4)CC3)CC2)CC1","NANPDB","2662","O1CCCCC1","C1=C2CCC3C(CCC4CCCC43)C2CCC1","O1C=C(C=CC1)C2CCC3C2CCC4C5C(=CC(OC6OCCCC6)CC5)CCC43",148
"786","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)C1=C(c2cc(O)c(O)c(O)c2)Oc2c(c(O)cc(O)c2)C1=O","NANPDB","1367","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC(OC3OCCCC3)=C1c4ccccc4",10
"790","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)C1=C(c2cc(O)c(O)c(O)c2)Oc2c(c(O)cc(O)c2)C1=O","EANPD","ANAC_00004","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC(OC3OCCCC3)=C1c4ccccc4",10
"794","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)C1=C(c2cc(O)c(O)cc2)Oc2c(c(O)cc(O)c2)C1=O","NANPDB","64","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC(OC3OCCCC3)=C1c4ccccc4",10
"798","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)C1=C(c2cc(O)c(O)cc2)Oc2c(c(O)cc(O)c2)C1=O","EANPD","CANE_00054","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC(OC3OCCCC3)=C1c4ccccc4",10
"802","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)C1=C(c2ccc(O)cc2)Oc2c(c(O)cc(O)c2)C1=O","NANPDB","3185","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC(OC3OCCCC3)=C1c4ccccc4",10
"806","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)C1=C(c2ccc(O)cc2)Oc2c(c(O)cc(O)c2)C1=O","EANPD","MORI_00009","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC(OC3OCCCC3)=C1c4ccccc4",10
"810","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)c1c(c(O)c2C(=O)C=C(c3cc(O)c(O)cc3)Oc2c1)C1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1","NANPDB","3320","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)c(cc2CC=C1c4ccccc4)C5OCCCC5",10
"811","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)c1c(O)c(O)cc(C2=C(O)C(=O)c3c(O)cc(O)cc3O2)c1","NANPDB","3080","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC=C1c3cccc(OC4OCCCC4)c3",10
"812","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)c1c(O)c2OC(=O)c3c-4c(c(O)c(O)c3)OC(=O)c(c2-4)c1","EANPD","COMB_00015","O1CCCCC1","O1c2cccc3c2-c4c(OC3)cccc4C1","O1c2cccc3c2-c4c(OC3)cc(OC5OCCCC5)cc4C1",148
"813","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)c1cc(O)c2C(=O)C(O)=C(c3cc(O)c(O)c(O)c3)Oc2c1","EANPD","MYRS_00024","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"814","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)c1cc(O)c2C(=O)C(O)=C(c3cc(O)c(O)cc3)Oc2c1","NANPDB","1111","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"815","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)c1cc(O)c2C(=O)C(O)=C(c3ccc(O)cc3)Oc2c1","NANPDB","1147","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"816","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)c1cc(O)c2C(=O)C(O[C@@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)=C(c3ccc(O)cc3)Oc2c1","NANPDB","1290","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC(OC4OCCCC4)=C1c5ccccc5",10
"817","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)c1cc(O)c2C(=O)C(O[C@@H]3[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O3)=C(c3ccc(O)cc3)Oc2c1","NANPDB","1282","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC(OC4OCCCC4)=C1c5ccccc5",10
"818","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)c1cc(O)c2C(=O)C(O[C@H]3[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O3)=C(c3ccc(O)cc3)Oc2c1","NANPDB","1146","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC(OC4OCCCC4)=C1c5ccccc5",10
"819","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)c1cc(O)c2C(=O)C=C(c3cc(O)c(O)cc3)Oc2c1","NANPDB","170","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"820","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)c1cc(O)c2C(=O)C=C(c3ccc(O)cc3)Oc2c1","NANPDB","168","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"821","O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](OC2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)O1)C1=C(c2ccc(O)cc2)Oc2c(c(O)cc(O)c2)C1=O","NANPDB","3143","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC(OC3OC(OC4OCCCC4)CCC3)=C1c5ccccc5",10
"822","O([C@H]1[C@H](OC2[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O2)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1cc(O)c2C(=O)C=C(c3cc(O)c(O)cc3)Oc2c1","NANPDB","3333","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3OC4OCCCC4)ccc2CC=C1c5ccccc5",10
"823","O([C@H]1C(O)[C@](O)(CO)CO1)C1=C(c2cc(O)c(O)cc2)Oc2c(c(O)cc(O)c2)C1=O","EANPD","LEGU_00281","O1C=CCc2ccccc12","c1ccccc1","O1c2ccccc2CC(OC3OCCC3)=C1c4ccccc4",10
"824","O([C@H]1C(O)[C@@H](O)[C@@H](O)C(C)O1)c1c([C@H]2C(O)[C@@H](O)[C@H](O)C(CO)O2)c(O)c2C(=O)C=C(c3ccc(O)cc3)Oc2c1","EANPD","MORA_00088","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)c(cc2CC=C1c4ccccc4)C5OCCCC5",10
"825","O([C@H]1C(O)[C@@H](O)[C@@H](O)C(C)O1)c1cc(O)c2C(=O)C(O)=C(c3ccc(O)cc3)Oc2c1","NANPDB","1106","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"826","O([C@H]1C(O)[C@@H](O)[C@@H](O)C(C)O1)c1cc(O)c2C(=O)C=C(c3ccc(O)cc3)Oc2c1","NANPDB","939","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"827","O([C@H]1C(O)[C@@H](O)[C@@H](O)C(CO)O1)c1cc(O)c2C(=O)C=C(c3cc(O)c(O)cc3)Oc2c1","NANPDB","4652","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"828","O([C@H]1C(O)[C@@H](O)[C@@H](O)C(CO)O1)c1cc(O)c2C(=O)C=C(c3ccc(O)cc3)Oc2c1","NANPDB","6302","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"829","O([C@H]1C(O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1cc(O)c2C(=O)C=C(c3ccc(O)cc3)Oc2c1","NANPDB","4242","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"830","O([C@H]1C(O)[C@@H](O)[C@H](O)C(CO)O1)C1=C(c2cc(O)c(O)cc2)Oc2c(c(O)cc(O)c2)C1=O","EANPD","LEGU_00280","O1C=CCc2ccccc12","O1CCCCC1","O1c2ccccc2CC(OC3OCCCC3)=C1c4ccccc4",10
"831","O([C@H]1C(O)[C@@H](O)[C@H](O)C(CO)O1)c1cc(O)c2C(=O)C(O)(Cc3ccc(O)cc3)Oc2c1","NANPDB","2750","O1c2ccccc2CC1","O1CCCCC1","O(c1ccc2c(OC(Cc3ccccc3)C2)c1)C4OCCCC4",159
