"","SMILES","DB","ID","scaffold","scaffold_id","NA","NA"
"36","Brc1[nH]c2C(=O)NCc3nc(N)nc(C(=O)OC)c3-c2c1","NANPDB","2168","n1cnc2c(c1)-c3cc[nH]c3CNC2","n1cnc2c(c1)-c3cc[nH]c3CNC2",NA,20
"37","Brc1[nH]c2C(=O)NCc3nc(N)ncc3-c2c1","NANPDB","2169","n1cnc2c(c1)-c3cc[nH]c3CNC2","n1cnc2c(c1)-c3cc[nH]c3CNC2",NA,20
"38","BrC1=C(OC)C(Br)=C[C@]2(O)[C@H]1OC(=O)C2","NANPDB","378","O1CCC2C=CC=CC12","O1CCC2C=CC=CC12",NA,21
"39","Brc1c(Br)c-2c(C(=O)NCc3nc(N)nc(C(=O)OC)c-23)[nH]1","NANPDB","2177","n1cnc2c(c1)-c3cc[nH]c3CNC2","n1cnc2c(c1)-c3cc[nH]c3CNC2",NA,20
"40","Brc1c(Br)c-2c(C(=O)NCc3nc(N)ncc-23)[nH]1","NANPDB","2176","n1cnc2c(c1)-c3cc[nH]c3CNC2","n1cnc2c(c1)-c3cc[nH]c3CNC2",NA,20
"41","Brc1c(Br)c2C(C=3N(C)C(=[N+H2])NC=3)=CCNC(=O)c2[nH]1","NANPDB","2166","C1=CNCN1","c1cc2C=CCNCc2[nH]1","c1cc2C(=CCNCc2[nH]1)C3=CNCN3",22
"42","Brc1c(Br)c2C(c3[nH]c(N)nc3)=CCNC(=O)c2[nH]1","NANPDB","2172","[N]1C=NC=C1","c1cc2C=CCNCc2[nH]1","N1=C[N]C(=C1)C2=CCNCc3[nH]ccc23",23
"43","Brc1c(C(=O)N)[nH]cc1Br","NANPDB","2175","c1cc[nH]c1","c1cc[nH]c1",NA,24
"44","Brc1c(CC(=O)N)c(O)ccc1OC","NANPDB","382","c1ccccc1","c1ccccc1",NA,3
"45","BrC1C(CCC(O)C(=C)C)(C)C(CCC(O)(C=C)C)C(C)=CC1","NANPDB","3846","C1=CCCCC1","C1=CCCCC1",NA,1
"46","Brc1c(O)c(Br)cc(CC(=O)OC)c1O","NANPDB","377","c1ccccc1","c1ccccc1",NA,3
"47","Brc1c(O)c(Br)cc(CC(=O)OCC)c1O","NANPDB","379","c1ccccc1","c1ccccc1",NA,3
"48","Brc1c(OC)c(Br)cc(/C=C/C(=O)N[C@@H](C(=O)O)CCCN=C(N)N)c1","NANPDB","381","c1ccccc1","c1ccccc1",NA,3
"49","Brc1c(OC)c(C(=O)OCC)c(O)c(O)c1","NANPDB","3487","c1ccccc1","c1ccccc1",NA,3
"50","Brc1c(OC)c(C=O)c(O)c(O)c1","NANPDB","3486","c1ccccc1","c1ccccc1",NA,3
"51","Brc1c(OC)ccc(/C=C/C(=O)N[C@@H](C(=O)O)CCCNC(=N)N)c1","NANPDB","380","c1ccccc1","c1ccccc1",NA,3
"52","Brc1c(OCCCN)c(Br)cc(C(O)CN)c1","NANPDB","3484","c1ccccc1","c1ccccc1",NA,3
"53","Brc1c(OCCCN)c(Br)cc(CCN)c1","NANPDB","3483","c1ccccc1","c1ccccc1",NA,3
"54","Brc1c(OCCCNC(=O)C(=O)N)c(Br)cc(CCN)c1","NANPDB","3488","c1ccccc1","c1ccccc1",NA,3
"55","Brc1c(OCCCNC(=O)C#N)c(Br)cc(CCN)c1","NANPDB","3485","c1ccccc1","c1ccccc1",NA,3
"56","Brc1c2C(=O)CCNC(=O)c2[nH]c1","NANPDB","2174","c1cc2c([nH]1)CNCCC2","c1cc2c([nH]1)CNCCC2",NA,25
"57","Brc1c2C(C=3N(C)C(=[N+H2])NC=3)=CCNC(=O)c2[nH]c1","NANPDB","2167","C1=CNCN1","c1cc2C=CCNCc2[nH]1","c1cc2C(=CCNCc2[nH]1)C3=CNCN3",22
"58","Brc1c2C(C=3NC(=[N+H2])NC=3)=CCNC(=O)c2[nH]c1","NANPDB","2173","C1=CNCN1","c1cc2C=CCNCc2[nH]1","c1cc2C(=CCNCc2[nH]1)C3=CNCN3",22
"59","Brc1cc2[nH]cc(/C=C/3\C(=O)N(C)C(N)=N\3)c2cc1","NANPDB","2153","N1=CNCC1","c1ccc2[nH]ccc2c1","N1=CNCC1=Cc2c[nH]c3ccccc23",19
"60","Brc1cc2[nH]cc(/C=C\3/N(C)C(=N)N(C)C/3=O)c2cc1","NANPDB","2149","N1CNCC1","c1ccc2[nH]ccc2c1","c1ccc2c(c[nH]c2c1)C=C3NCNC3",26
"61","Brc1cc2n(C(=O)CC)cc(/C=C\3/N(C)C(=N)N(C)C/3=O)c2cc1","NANPDB","2151","N1CNCC1","c1ccc2[nH]ccc2c1","c1ccc2c(c[nH]c2c1)C=C3NCNC3",26
"62","Brc1cnc(C(=O)N2CCC(CNC(=O)C)CC2)cc1","EANPD","PLEO_00109","N1CCCCC1","N1CCCCC1","n1ccccc1CN2CCCCC2",27
"63","BrCCCCCCCCCCCCCCBr","EANPD","ANNO_02027","0",NA,NA,8
"64","BrCCNC(=O)O[C@@]1([C@H]2NC(=O)SC2)O[C@H]2C[C@@H](OC(=O)/C=C(/C)\CC/C=C/C=C\[C@@H](C)CC2)C1","NANPDB","3368","S1CNCC1","O1CC=CCCC=CC=CCCCC2OCCC1C2","O1CC=CCCC=CC=CCCCC2OC(CC1C2)C3NCSC3",28
"65","C([C@@H]1C(C)(C)O1)c1c2c([nH]c1)c1OC(C)(C)C=Cc1cc2","EANPD","ANNO_00149","O1c2c(ccc3cc[nH]c32)C=CC1","O1CC1","O1c2c(ccc3c(c[nH]c23)CC4OC4)C=CC1",29
"66","C([C@@H]1C(C)(C)O1)c1c2c([nH]c1)ccc(C[C@H]1C(C)(C)O1)c2","EANPD","ANNO_00030","O1CC1","c1ccc2[nH]ccc2c1","O1CC1Cc2ccc3[nH]cc(c3c2)CC4OC4",30
"67","C([C@H]1C(C)(C)O1)c1c2c([nH]c1)c1OC(C)(C)C=Cc1cc2","EANPD","ANNO_00148","O1c2c(ccc3cc[nH]c32)C=CC1","O1CC1","O1c2c(ccc3c(c[nH]c23)CC4OC4)C=CC1",29
"68","C(/C=C/C(C=C)(C)C)(=C)C","NANPDB","1968","0",NA,NA,8
"69","C(/C=C/c1cc2[nH]ccc2cc1)(=C)C","EANPD","ANNO_00037","c1ccc2[nH]ccc2c1","c1ccc2[nH]ccc2c1",NA,31
"70","C(/C=C/c1cc2c([nH]cc2)cc1)(=C)C","EANPD","ANNO_00016","c1ccc2[nH]ccc2c1","c1ccc2[nH]ccc2c1",NA,31
"71","C(\C=C/C=C/CC)=C\C=C\CCC","NANPDB","4326","0",NA,NA,8
"72","C(\C=C\C=C(C)C)(=C/C)/C","EANPD","ASTE_00206","0",NA,NA,8
"73","C(\c1sccc1)=C\1/OC2(OCCCC2)C=C/1","NANPDB","1736","s1cccc1","O1CC=CC12OCCCC2","O1C(C=CC12OCCCC2)=Cc3sccc3",32
"74","C(#C)/C=C/CCCC#CCCCCCCCCCCC#C","NANPDB","1026","0",NA,NA,8
"75","C(#C)/C=C/CCCC#CCCCCCCCCCCCC#C","NANPDB","1031","0",NA,NA,8
"76","C(#C)/C=C\CCCC#CCCCCC#CCCCCC#CCCCCCC","NANPDB","1006","0",NA,NA,8
"77","C(#CCCC/C=C/C#C)/C=C/CCCCCCC/C=C/C#C","NANPDB","1027","0",NA,NA,8
"78","C(=C)(C)[C@@H]1[C@@]2([C@@H](C)CC1)CC=C(C)CC2","NANPDB","4945","C1=CCC2(CC1)CCCC2","C1=CCC2(CC1)CCCC2",NA,33
"79","C(=C)(C)[C@@H]1CC2C(C)=CCC[C@@]2(C)CC1","NANPDB","4936","C1=CC2CCCCC2CC1","C1=CC2CCCCC2CC1",NA,34
"80","C(=C)(C)[C@H]1[C@@](C=C)(C)CC[C@@H](C(=C)C)C1","NANPDB","953","C1CCCCC1","C1CCCCC1",NA,13
"81","C(=C)(C)[C@H]1C[C@@]2(C)[C@H](C)CCC=C2CC1","NANPDB","1667","C1=C2CCCCC2CCC1","C1=C2CCCCC2CCC1",NA,35
"82","C(=C)(C)[C@H]1C[C@@H]2C(C)=CCC[C@]2(C)CC1","EANPD","CYPE_00101","C1=CC2CCCCC2CC1","C1=CC2CCCCC2CC1",NA,34
"83","C(=C)(C)[C@H]1C[C@H]2C(=C)CCC[C@]2(C)CC1","NANPDB","4231","C1CCC2CCCCC2C1","C1CCC2CCCCC2C1",NA,4
"85","C(=C)(C)[C@H]1C[C@H]2C(=C)CCC[C@]2(C)CC1","EANPD","LAMI_00022","C1CCC2CCCCC2C1","C1CCC2CCCCC2C1",NA,4
"87","C(=C)(C)[C@H]1C[C@H]2C(C)=CCC[C@]2(C)CC1","NANPDB","4358","C1=CC2CCCCC2CC1","C1=CC2CCCCC2CC1",NA,34
"88","C(=C)(C)[C@H]1CC(C)=CCC1","NANPDB","4343","C1=CCCCC1","C1=CCCCC1",NA,1
"89","C(=C)(C)[C@H]1CC=2[C@@H](C)CCC=2[C@@H](C)CC1","EANPD","BURS_00027","C12=C(CCC1)CCCCC2","C12=C(CCC1)CCCCC2",NA,36
"90","C(=C)(C)[C@H]1CC=C(C)CC1","NANPDB","293","C1=CCCCC1","C1=CCCCC1",NA,1
"92","C(=C)(C)[C@H]1CC=C(C)CC1","EANPD","BURS_00038","C1=CCCCC1","C1=CCCCC1",NA,1
"94","C(=C)(C)[C@H]1CC2C(C)(O2)CC1","EANPD","VERB_00017","O1C2CCCCC12","O1C2CCCCC12",NA,37
"95","C(=C)(C)C1=CC=C(C)CC1","NANPDB","4192","C=1C=CCCC1","C=1C=CCCC1",NA,2
"96","C(=C)(C)C1C(C=C)(C)C=CC(C(C)C)=C1","EANPD","ANNO_00070","C=1C=CCCC1","C=1C=CCCC1",NA,2
"97","C(=C)(C)C1C=CC(C)=CC1","NANPDB","5249","C=1C=CCCC1","C=1C=CCCC1",NA,2
"98","C(=C)(C)c1cc(C)ccc1","EANPD","BURS_00058","c1ccccc1","c1ccccc1",NA,3
"99","C(=C)(C)C1CC=C(C)CC1","EANPD","BURS_00172","C1=CCCCC1","C1=CCCCC1",NA,1
"101","C(=C)(C)C1CC=C(C)CC1","NANPDB","271","C1=CCCCC1","C1=CCCCC1",NA,1
"103","C(=C)(C)c1ccc(C)cc1","NANPDB","4193","c1ccccc1","c1ccccc1",NA,3
"104","C(=C)(C)c1ccccc1","EANPD","BURS_00051","c1ccccc1","c1ccccc1",NA,3
"105","C(=C)[C@@]1(C)C=C2[C@@H]([C@]3(C)[C@H](C(C)(C)CCC3)CC2)CC1","NANPDB","5098","C1=C2CCC3CCCCC3C2CCC1","C1=C2CCC3CCCCC3C2CCC1",NA,38
"106","C(=C)[C@@]1(C)CC=C2[C@]3(C)C(C(C)(C)C(=C)CC3)CCC2C1","NANPDB","5097","C1=C2C(CCC1)CCC3CCCCC23","C1=C2C(CCC1)CCC3CCCCC23",NA,39
"107","C(=C)[C@@]1(C)CC2C([C@]3(C)C(C(C)(C)CCC3)CC2)CC1","EANPD","BURS_00182","C1CCC2C(C1)CCC3CCCCC32","C1CCC2C(C1)CCC3CCCCC32",NA,40
"108","C(=C)[C@@]1(C)O[C@@H](C(C)C2OOC(C)(C)C=C2)CC1","NANPDB","6218","O1CCCC1","O1OCC=CC1","O1OC(C=CC1)CC2OCCC2",41
"109","C(=C)c1ccc(C)cc1","EANPD","BURS_00046","c1ccccc1","c1ccccc1",NA,3
"110","C(=C)c1ccccc1","EANPD","BURS_00044","c1ccccc1","c1ccccc1",NA,3
"111","C(=C)CCCCCC","EANPD","BOVI_00053","0",NA,NA,8
"112","C(=C)CCCCCCCC","NANPDB","1573","0",NA,NA,8
"113","C(=C)CCCCCCCCCCCCC","NANPDB","4257","0",NA,NA,8
"114","C(=C)CCCCCCCCCCCCCCCCC","NANPDB","4260","0",NA,NA,8
"115","C(=C)CCCCCCCCCCCCCCCCCC","NANPDB","2909","0",NA,NA,8
"116","C(=C/[C@]1(C)[C@H](c2cc3c([nH]cc3)cc2)C=C(C)CC1)\c1cc2c([nH]cc2)cc1","EANPD","ANNO_00012","C1=CCCCC1","c1ccc2[nH]ccc2c1","c1cc2cc(ccc2[nH]1)C=CC3CCC=CC3c4ccc5[nH]ccc5c4",1
"117","C(=C/[C@@]1(C)[C@H](c2cc3c([nH]cc3)cc2)C=C(C)CC1)\c1cc2c([nH]cc2)cc1","EANPD","ANNO_00011","C1=CCCCC1","c1ccc2[nH]ccc2c1","c1cc2cc(ccc2[nH]1)C=CC3CCC=CC3c4ccc5[nH]ccc5c4",1
"118","C(=C/C(C)(C)c1ccccc1)(\C)/c1ccccc1","EANPD","BURS_00098","c1ccccc1","c1ccccc1","c1ccc(cc1)C=CCc2ccccc2",3
"119","C(=C/C)\CCC(CCCC(CCCC(C)C)C)C","NANPDB","5437","0",NA,NA,8
"120","C(=C/C/C=C(/CCC=C(C)C)\C)(\C=C)/C","EANPD","BURS_00026","0",NA,NA,8
"121","C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(/CCC=C(C)C)\C)\C)\C)/C)(\C=C\C=C(\CCC=C(C)C)/C)/C","NANPDB","672","0",NA,NA,8
"122","C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)(\CCC=C(C)C)/C","NANPDB","6810","0",NA,NA,8
