"","colnms","SSE10","SSE20","SSE30","SSE40","SSE50","SSE60"
"1","EANPD","0.911","0.904","0.902","0.899","0.897","0.895"
"2","NANPDB","0.921","0.914","0.909","0.903","0.900","0.897"
