"","M","N","FNM","NSING","FNSING.M","FNSING.N","AUC","F50"
"EANPD",1749,305,0.174385363064608,161,0.0920526014865637,0.527868852459016,0.85840973643506,0.0360655737704918
"NANPDB",3691,575,0.155784340287185,280,0.0758602004876727,0.48695652173913,0.868818997759082,0.0295652173913043
