node_id,name,smiles,feat_mw,feat_logp
C_2457,physcion,COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,284.26700000000005,2.1902200000000005
C_2458,rhoifolin,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc4c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,578.5230000000004,-1.0983000000000007
C_2459,warburganal,CC1(C)CCC[C@@]2(C)[C@H]1CC=C(C=O)[C@]2(O)C=O,250.338,2.2780000000000005
C_2460,apigenin 7-rutinoside,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc4c3)[C@@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@H]1O,578.5230000000004,-1.0983000000000007
C_2461,chlorogenic acid,O=C(/C=C/c1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1O,354.31100000000004,-0.6459000000000001
C_2462,caryophyllene,C=C1CC/C=C(\C)CCC2C1CC2(C)C,204.35699999999997,4.7252000000000045
C_2463,digallic acid,O=C(O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,322.22499999999997,1.1319999999999995
C_2464,naringenin,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,272.25600000000003,2.5099000000000014
C_2465,isoorientin,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,448.3800000000001,-0.20270000000000032
C_2466,aliarin,COc1c(O)cc2oc(-c3ccc(O)c(CCC(C)(C)O)c3)c(OC)c(=O)c2c1O,416.42600000000016,3.2975000000000025
C_2467,aloesone,CC(=O)Cc1cc(=O)c2c(C)cc(O)cc2o1,232.23499999999999,1.9385199999999998
C_2468,burttinonedehydrate,C=C(C)/C=C/c1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc(CC=C(C)C)c1OC,420.5050000000002,5.910900000000006
C_2469,mangiferin,O=c1c2cc(O)c(O)cc2oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,422.3420000000001,-0.7165000000000005
C_2470,"2,6-di-sec-butylphenol",CCC(C)c1cccc(C(C)CC)c1O,206.32899999999995,4.4192000000000045
C_2471,hyoscyamine,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@H](CO)c1ccccc1)C2,289.37500000000006,1.9308999999999996
C_2472,eucarvone,CC1=CC=CC(C)(C)CC1=O,150.221,2.4879000000000007
C_2473,apoatropine,C=C(C(=O)OC1CC2CCC(C1)N2C)c1ccccc1,271.35999999999996,2.8682000000000016
C_2474,tricin,COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc(OC)c1O,330.2920000000001,2.5940000000000007
C_2475,hispidulin,COc1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,300.2660000000001,2.5854000000000004
C_2476,tropinone,CN1[C@H]2CC[C@@H]1CC(=O)C2,139.19799999999998,0.8120999999999999
C_2477,8-c-p-hydroxybenzylkaempferol,O=c1c(O)c(-c2ccc(O)cc2)oc2c(Cc3ccc(O)cc3)c(O)cc(O)c12,392.3630000000001,3.5788000000000006
C_2478,aloin,O=C1c2c(O)cccc2C(C2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21,418.39800000000014,-0.8912000000000002
C_2479,cycloartenol,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C,426.7290000000003,8.168900000000008
C_2480,atropine,CN1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,289.37500000000006,1.9308999999999996
C_2481,gamma-tocopherol,Cc1c(O)cc2c(c1C)O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,416.6900000000003,8.531840000000004
C_2482,abyssinone i,CC1(C)C=Cc2cc([C@@H]3CC(=O)c4ccc(O)cc4O3)ccc2O1,322.36,4.282900000000003
